Cycle,Time,A01,A02,A04,A05,A07,A08,A10,A11,B01,B02,B04,B05,B07,B08,B10,B11,C01,C02,C04,C05,C07,C08,C10,C11,D01,D02,D04,D05,D07,D08,D10,D11,E01,E02,E04,E05,E07,E08,E10,E11,F01,F02,F04,F05,F07,F08,F10,F11,G01,G02,G04,G05,G07,G08,G10,G11
1,0 h ,-0.079,-0.102,-0.053,-0.029,-0.163,-0.192,-0.116,-0.087,-0.193,-0.079,0.112,-0.05,0.138,0.093,-0.217,-0.202,-0.142,-0.119,-0.044,0.026,0.299,0.096,-0.209,-0.191,-0.076,-0.027,0.001,0.048,0.138,0.127,-0.041,-0.168,-0.119,-0.08,0.011,0.059,0.101,0.262,-0.078,-0.196,-0.118,-0.05,0.049,-0.089,0.106,0.015,-0.027,0.007,-0.166,-0.081,-0.058,0.184,0.084,0.171,0.353,-0.006
2,0 h 9 min,-0.106,-0.157,-0.093,-0.045,-0.212,-0.202,-0.133,-0.142,-0.164,-0.1,0.109,-0.041,0.155,0.076,-0.18,-0.152,-0.183,-0.09,-0.059,4.69E-05,0.168,0.105,-0.23,-0.21,-0.121,-0.035,0.032,0.035,0.103,0.182,-0.082,-0.193,-0.122,0.011,-0.007,0.101,0.044,0.173,-0.119,-0.183,-0.082,-0.008,0.059,-0.128,0.105,0.008,-0.04,0.043,-0.206,-0.058,-0.028,0.235,0.168,0.111,0.335,-0.018
3,0 h 17 min,-0.13,-0.167,-0.075,-0.048,-0.122,-0.124,-0.012,0.031,-0.12,-0.076,0.038,-0.061,0.162,0.138,-0.214,-0.155,-0.169,-0.113,-0.031,0.029,0.164,0.043,-0.198,-0.199,-0.149,-0.014,0.033,0.025,0.107,0.142,-0.067,-0.123,-0.184,-0.029,0.047,0.111,0.054,0.184,-0.116,-0.188,-0.038,-0.034,0.063,-0.049,0.044,0.035,-0.112,0.106,-0.169,-0.019,0.024,0.232,0.17,0.107,0.261,-0.005
4,0 h 26 min,-0.15,-0.158,-0.069,-0.014,-0.033,0.071,0.117,0.015,-0.153,-0.11,0.042,-0.072,0.201,0.007,-0.114,-0.176,-0.141,-0.146,-0.025,-0.038,0.093,0.067,-0.135,-0.175,-0.147,-8.97E-04,-0.005,0.014,0.119,0.122,-0.07,-0.172,-0.151,-0.032,0.003,0.088,0.041,0.073,-0.011,-0.201,-0.076,-0.123,-0.037,-0.043,0.067,0.103,0.023,0.2,-0.189,-0.017,-0.037,0.21,0.123,0.071,0.317,-0.03
5,0 h 34 min,-0.161,-0.183,-0.072,-0.019,0.043,0.164,0.228,0.179,-0.145,-0.115,0.01,-0.076,0.183,0.098,-0.084,-0.022,-0.156,-0.088,-0.04,-0.04,0.138,0.05,-0.053,-0.073,-0.168,-0.066,-0.004,-0.022,0.113,0.132,-0.094,-0.186,-0.147,0.016,0.008,0.032,0.079,0.077,-0.079,-0.201,-0.093,-0.125,-0.024,0.051,0.015,0.095,0.024,0.215,-0.16,-0.037,-0.012,0.158,0.133,0.187,0.306,-0.039
6,0 h 43 min,-0.117,-0.181,-0.084,-0.056,0.16,0.188,0.266,0.246,-0.12,-0.121,0.032,-0.062,0.338,0.085,-0.009,-0.011,-0.147,-0.15,-0.02,-0.065,0.263,0.145,0.018,0.02,-0.159,-0.011,-0.009,-0.028,0.164,0.161,-0.012,-0.215,-0.13,-0.004,0.035,-0.017,0.103,0.176,-0.065,-0.159,-0.026,-0.086,0.081,-0.02,0.043,0.109,0.122,0.258,-0.209,-0.037,-9.09E-04,0.141,0.175,0.181,0.42,-0.07
7,0 h 51 min,-0.135,-0.193,-0.084,-0.012,0.14,0.158,0.334,0.219,-0.152,-0.086,-0.008,-0.091,0.306,0.088,-0.019,0.02,-0.143,-0.155,-0.019,-0.011,0.313,0.183,0.149,0.062,-0.168,-0.038,-0.003,-0.017,0.19,0.15,0.103,-0.188,-0.156,-0.02,0.043,0.061,0.089,0.176,-0.005,-0.075,-0.025,-0.089,0.063,-0.103,0.052,0.116,0.122,0.277,-0.143,-0.037,-0.021,0.158,0.207,0.228,0.339,-0.117
8,0 h 60 min,-0.129,-0.091,-0.07,-0.077,0.175,0.171,0.278,0.212,-0.167,-0.128,0.051,-0.079,0.374,0.064,0.032,0.042,-0.137,-0.167,-0.04,-0.032,0.304,0.207,3.09E-04,0.039,-0.195,-0.026,-0.027,-0.013,0.221,0.152,0.119,-0.126,-0.151,0.028,0.068,0.051,0.126,0.175,0.01,-0.079,0.015,-0.061,0.088,-0.045,0.099,0.144,0.153,0.314,-0.153,-0.041,-0.029,0.188,0.163,0.137,0.358,-0.14
9,1 h 8 min,-0.096,-0.052,-0.031,-0.023,0.158,0.204,0.299,0.217,-0.156,-0.141,0.07,-0.06,0.385,0.084,0.039,0.086,-0.131,-0.159,-0.044,-0.033,0.338,0.204,0.062,0.024,-0.213,-0.005,-0.027,-0.01,0.16,0.14,0.186,-0.084,-0.175,-0.016,0.058,0.007,0.16,0.188,0.067,-0.035,0.002,-0.071,0.115,-0.028,0.089,0.14,0.153,0.331,-0.149,-0.016,-0.006,0.232,0.226,0.18,0.521,-0.066
10,1 h 17 min,-0.094,-0.08,-0.048,-0.056,0.22,0.204,0.265,0.289,-0.111,-0.12,0.086,-0.035,0.377,0.115,0.08,0.095,-0.134,-0.097,-0.028,0.035,0.327,0.176,0.077,0.014,-0.141,-0.056,0.038,0.014,0.188,0.161,0.188,-0.144,-0.115,0.014,0.08,0.112,0.127,0.197,0.115,-0.018,0.009,-0.055,0.071,-0.007,0.103,0.148,0.157,0.364,-0.143,0.002,-0.046,0.235,0.264,0.167,0.524,-0.001
11,1 h 25 min,-0.08,-0.067,-0.076,0.01,0.225,0.192,0.271,0.279,-0.119,-0.121,0.086,-0.038,0.406,0.116,0.061,0.187,-0.126,-0.1,-0.002,-0.011,0.372,0.189,0.074,0.033,-0.163,-0.034,0.026,0.002,0.223,0.14,0.196,-0.13,-0.103,-0.019,0.057,0.054,0.145,0.191,0.092,-0.033,0.005,-0.056,0.067,0.034,0.096,0.126,0.204,0.351,-0.127,-6.34E-04,-0.009,0.238,0.353,0.15,0.42,0.022
