User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 60
Test name: MC-3,Date: 2/4/2020,Time: 9:18:04 PM

Absorbance

Cycle 450 (41 h 24 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.642,1.534,1.535,1.687,1.707,1.693,1.704,1.629,1.776,1.985,2.05,2.064
B,1.592,1.495,1.565,1.57,1.627,1.774,1.723,1.684,1.788,1.886,2.082,2.083
C,1.372,1.545,1.517,1.579,1.668,1.761,1.698,1.657,1.8,1.614,1.633,1.669
D,1.75,1.639,1.67,1.505,1.553,1.566,1.691,1.806,1.857,1.498,1.572,1.573
E,1.497,1.604,1.55,1.4,1.505,1.468,1.733,1.676,1.705,1.842,1.932,1.911
F,,,,,,,1.866,1.767,1.858,1.982,2.024,1.922
G,,,,,,,1.745,1.723,1.84,1.37,1.372,1.408
H,,,,,,,1.813,1.747,1.908,1.74,1.598,1.385

Cycle 449 (41 h 19 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.643,1.531,1.526,1.68,1.695,1.686,1.702,1.631,1.774,1.988,2.054,2.059
B,1.595,1.494,1.561,1.573,1.627,1.776,1.714,1.685,1.791,1.882,2.076,2.08
C,1.377,1.547,1.52,1.575,1.665,1.764,1.682,1.656,1.808,1.607,1.634,1.66
D,1.748,1.642,1.678,1.504,1.553,1.566,1.678,1.806,1.848,1.5,1.565,1.565
E,1.495,1.608,1.591,1.391,1.493,1.46,1.73,1.676,1.707,1.845,1.916,1.922
F,,,,,,,1.853,1.763,1.858,1.982,2.025,1.919
G,,,,,,,1.748,1.718,1.843,1.377,1.366,1.409
H,,,,,,,1.797,1.737,1.895,1.739,1.594,1.384

Cycle 448 (41 h 13 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.65,1.541,1.541,1.685,1.701,1.695,1.709,1.635,1.782,1.992,2.053,2.061
B,1.599,1.499,1.559,1.581,1.638,1.783,1.724,1.692,1.789,1.897,2.085,2.091
C,1.378,1.552,1.547,1.596,1.674,1.764,1.695,1.665,1.805,1.616,1.636,1.673
D,1.751,1.642,1.688,1.511,1.542,1.569,1.676,1.805,1.855,1.499,1.572,1.569
E,1.508,1.612,1.594,1.396,1.502,1.47,1.737,1.678,1.713,1.858,1.927,1.917
F,,,,,,,1.868,1.77,1.865,1.984,2.032,1.926
G,,,,,,,1.745,1.706,1.85,1.387,1.374,1.417
H,,,,,,,1.815,1.748,1.901,1.749,1.596,1.392

Cycle 447 (41 h 8 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.644,1.537,1.533,1.681,1.695,1.695,1.708,1.63,1.768,1.986,2.055,2.056
B,1.59,1.494,1.556,1.579,1.629,1.781,1.715,1.682,1.788,1.879,2.075,2.081
C,1.375,1.552,1.522,1.582,1.667,1.757,1.689,1.661,1.812,1.611,1.638,1.668
D,1.752,1.637,1.685,1.503,1.555,1.572,1.697,1.803,1.848,1.498,1.563,1.563
E,1.503,1.6,1.584,1.391,1.499,1.459,1.738,1.678,1.71,1.845,1.925,1.921
F,,,,,,,1.864,1.761,1.858,1.982,2.022,1.922
G,,,,,,,1.744,1.707,1.858,1.377,1.371,1.414
H,,,,,,,1.813,1.744,1.911,1.73,1.584,1.386

Cycle 446 (41 h 2 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.638,1.534,1.529,1.684,1.692,1.698,1.706,1.632,1.77,1.983,2.048,2.049
B,1.599,1.494,1.555,1.577,1.621,1.778,1.719,1.682,1.785,1.877,2.077,2.08
C,1.372,1.55,1.527,1.577,1.666,1.758,1.709,1.657,1.807,1.605,1.628,1.659
D,1.753,1.634,1.688,1.5,1.54,1.561,1.664,1.803,1.859,1.483,1.555,1.561
E,1.493,1.619,1.579,1.392,1.488,1.458,1.73,1.67,1.704,1.839,1.91,1.908
F,,,,,,,1.859,1.764,1.85,1.961,2.018,1.919
G,,,,,,,1.751,1.712,1.829,1.376,1.37,1.413
H,,,,,,,1.811,1.742,1.896,1.746,1.598,1.383

Cycle 445 (40 h 57 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.646,1.534,1.529,1.678,1.697,1.692,1.706,1.631,1.768,1.99,2.051,2.057
B,1.592,1.498,1.555,1.572,1.628,1.773,1.714,1.692,1.782,1.883,2.079,2.078
C,1.377,1.55,1.523,1.585,1.669,1.76,1.695,1.663,1.805,1.607,1.633,1.66
D,1.755,1.64,1.684,1.508,1.543,1.559,1.666,1.805,1.836,1.494,1.556,1.555
E,1.513,1.595,1.595,1.397,1.487,1.449,1.732,1.676,1.705,1.836,1.913,1.92
F,,,,,,,1.86,1.759,1.862,1.984,2.019,1.919
G,,,,,,,1.754,1.696,1.853,1.381,1.371,1.417
H,,,,,,,1.817,1.75,1.907,1.73,1.597,1.391

Cycle 444 (40 h 51 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.645,1.537,1.53,1.682,1.696,1.696,1.705,1.631,1.771,1.992,2.056,2.064
B,1.586,1.508,1.569,1.576,1.629,1.784,1.721,1.701,1.788,1.89,2.084,2.084
C,1.38,1.557,1.524,1.577,1.674,1.763,1.688,1.665,1.801,1.608,1.632,1.656
D,1.75,1.643,1.692,1.489,1.536,1.556,1.675,1.807,1.862,1.493,1.56,1.559
E,1.499,1.598,1.595,1.386,1.487,1.454,1.73,1.671,1.707,1.852,1.914,1.919
F,,,,,,,1.861,1.76,1.856,1.994,2.027,1.925
G,,,,,,,1.757,1.73,1.815,1.371,1.37,1.419
H,,,,,,,1.8,1.746,1.901,1.729,1.601,1.39

Cycle 443 (40 h 46 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.641,1.537,1.53,1.689,1.697,1.698,1.707,1.633,1.785,1.996,2.053,2.065
B,1.602,1.496,1.561,1.584,1.628,1.783,1.723,1.689,1.789,1.905,2.089,2.09
C,1.378,1.561,1.525,1.577,1.675,1.771,1.705,1.659,1.81,1.611,1.635,1.662
D,1.76,1.635,1.691,1.496,1.529,1.56,1.695,1.817,1.853,1.496,1.555,1.558
E,1.493,1.608,1.59,1.395,1.495,1.452,1.739,1.675,1.712,1.847,1.928,1.924
F,,,,,,,1.865,1.762,1.862,1.981,2.029,1.929
G,,,,,,,1.756,1.715,1.857,1.384,1.37,1.421
H,,,,,,,1.812,1.753,1.903,1.734,1.6,1.389

Cycle 442 (40 h 40 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.635,1.531,1.529,1.677,1.691,1.693,1.701,1.639,1.769,1.989,2.052,2.055
B,1.596,1.497,1.56,1.574,1.623,1.776,1.722,1.688,1.783,1.883,2.076,2.078
C,1.375,1.558,1.52,1.582,1.668,1.763,1.684,1.659,1.795,1.604,1.624,1.649
D,1.751,1.644,1.695,1.488,1.527,1.542,1.69,1.808,1.852,1.479,1.555,1.549
E,1.493,1.598,1.577,1.378,1.486,1.448,1.73,1.671,1.71,1.844,1.932,1.913
F,,,,,,,1.856,1.756,1.862,1.974,2.017,1.916
G,,,,,,,1.75,1.713,1.829,1.388,1.367,1.42
H,,,,,,,1.803,1.739,1.895,1.731,1.599,1.385

Cycle 441 (40 h 35 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.643,1.534,1.533,1.684,1.694,1.696,1.707,1.64,1.772,1.99,2.051,2.059
B,1.588,1.495,1.566,1.579,1.629,1.78,1.721,1.706,1.789,1.885,2.08,2.087
C,1.389,1.566,1.527,1.585,1.668,1.762,1.69,1.659,1.81,1.605,1.629,1.653
D,1.758,1.64,1.677,1.494,1.53,1.563,1.694,1.809,1.836,1.477,1.556,1.555
E,1.504,1.609,1.584,1.378,1.483,1.452,1.738,1.675,1.714,1.85,1.927,1.918
F,,,,,,,1.865,1.768,1.863,1.976,2.031,1.926
G,,,,,,,1.747,1.723,1.847,1.381,1.38,1.423
H,,,,,,,1.816,1.754,1.904,1.742,1.601,1.394

Cycle 440 (40 h 29 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.63,1.533,1.53,1.68,1.689,1.691,1.704,1.63,1.768,1.985,2.047,2.059
B,1.599,1.498,1.565,1.574,1.633,1.772,1.721,1.689,1.788,1.889,2.079,2.08
C,1.357,1.556,1.519,1.568,1.664,1.752,1.681,1.656,1.797,1.6,1.62,1.647
D,1.752,1.635,1.688,1.48,1.533,1.549,1.695,1.806,1.852,1.484,1.552,1.549
E,1.509,1.606,1.581,1.377,1.476,1.439,1.731,1.667,1.712,1.841,1.925,1.907
F,,,,,,,1.858,1.754,1.863,1.985,2.024,1.916
G,,,,,,,1.755,1.693,1.847,1.381,1.368,1.416
H,,,,,,,1.81,1.744,1.896,1.734,1.595,1.387

Cycle 439 (40 h 24 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.638,1.535,1.526,1.685,1.694,1.688,1.697,1.637,1.77,1.989,2.048,2.06
B,1.583,1.499,1.562,1.579,1.635,1.782,1.722,1.692,1.784,1.885,2.073,2.079
C,1.376,1.566,1.524,1.583,1.668,1.762,1.682,1.663,1.807,1.598,1.617,1.646
D,1.749,1.634,1.674,1.492,1.523,1.555,1.689,1.805,1.857,1.487,1.554,1.547
E,1.495,1.603,1.589,1.36,1.479,1.442,1.733,1.666,1.705,1.83,1.915,1.914
F,,,,,,,1.854,1.755,1.85,1.965,2.025,1.924
G,,,,,,,1.76,1.727,1.849,1.38,1.372,1.419
H,,,,,,,1.808,1.743,1.906,1.735,1.6,1.386

Cycle 438 (40 h 18 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.64,1.538,1.526,1.682,1.7,1.696,1.704,1.634,1.771,1.986,2.046,2.054
B,1.588,1.501,1.549,1.575,1.63,1.785,1.716,1.69,1.787,1.891,2.08,2.084
C,1.381,1.565,1.515,1.574,1.666,1.758,1.711,1.66,1.811,1.593,1.621,1.646
D,1.754,1.643,1.678,1.477,1.519,1.539,1.679,1.813,1.862,1.479,1.551,1.546
E,1.511,1.62,1.572,1.367,1.472,1.439,1.729,1.671,1.707,1.842,1.918,1.913
F,,,,,,,1.853,1.763,1.849,1.981,2.022,1.921
G,,,,,,,1.749,1.728,1.841,1.384,1.379,1.414
H,,,,,,,1.812,1.74,1.897,1.736,1.603,1.387

Cycle 437 (40 h 13 min)
Blank corrected based on Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.636,1.531,1.529,1.686,1.688,1.692,1.7,1.63,1.762,1.977,2.039,2.054
B,1.598,1.489,1.546,1.563,1.623,1.772,1.722,1.685,1.781,1.876,2.07,2.074
C,1.372,1.564,1.515,1.567,1.663,1.751,1.682,1.651,1.794,1.589,1.614,1.642
D,1.751,1.635,1.673,1.474,1.512,1.536,1.703,1.802,1.851,1.462,1.535,1.539
E,1.489,1.598,1.584,1.374,1.47,1.436,1.728,1.666,1.706,1.841,1.913,1.902
